id: 7oe-1wEx	Chunk: {'title': '2.1.1', 'text': '故障现象：空气起动机断开时的高压转子转速高于或低于41～44%(4700+100 -200转/分),起动机 工作时间小于56±4秒。\n原因：HP-30 K II 的起动机断开转速调整不当。\n排除方法：重新调整起动机断开转速（18号螺钉）(见调整、试验章节)'}
id: 82u7E-Bt	Chunk: {'title': '高压燃油系统', 'text': '高压燃油系统和低压燃油系统一起，按照发动机的工作状态，自动地调节发动机的供油量，并控制发动机附件中各被调节元件的工作状态。\n    高压燃油系统，根据油门的位置，保持发动机在过渡转速和稳定转速下可靠的工作，其调节规律是：\n    在发动机起动时，油门放在慢车转速区域，根据受周围大气条件影响的高压压气\n机后的空气压力，实现定量的向燃烧室供应燃油， GT=f(PK,PH);\n    在慢车转速状态，不随外界大气条件变化，保持往燃烧室的供油量不变 GT=\nconst; 但高压压气机的转速，却随大气温度的不同而变化：\n    从慢车转速到调节器自动工作转速 (HAP),  依据油门的位置，供油量不依外界条\n件而变， GT=f(a), 亦即恒定的压力差依靠油泵调节器中的恒压差活门保持，供油\n量只根据油门通油截面的大小而变化。发动机转速在油门位置一定时，根据外界温度而变化：\n    从HAP 状态到起飞转速(除去转速受限制的情况),油门位置一定，转速n2 不依\n外部条件而变化， n2=f(a),  但燃油消耗却随外界大气条件的变化而变化。\n    为了防止发动机过负荷或过热，在发动机调节系统，对下列参数极限予以限制：\n    高压压气机后的空气总压P*K;\n    涡轮后的燃气温度t*T, 取决于油门位置从起飞状态到0.7额定区域实际所处的位\n置以及发动机进口的空气温度t*Д:t*T=f(a,t*Д);\n    当发动机在0.7 额定转速以下，涡轮后的燃气温度只受发动机进口空气温度的影\n响。\n    低压压气机的转速n1。\n    发动机各参数极限的限制，实际上是通过某专用调节器，按照油门的位置，减少\n对发动机的供油量。'}
id: Lnvqm8Lo	Chunk: {'title': '燃油系统', 'text': '发动机的自动调节系统，是按照发动机的进口空气温度 根据高压压气机的转速，\n操纵压气机的机构(空气放气活门和进气导向器叶片偏转)实现发动机防喘的。放气活\n门的关闭，采用中继式，进气导向器叶片的偏转则按给定的动作：aBHA=f(n2换算)。\n    发动机的加速性，是当油门由慢车转速移到起飞转速时，此过程中向燃烧室的供油量，取决于高压压气机转速和高压压气机后的空气压力：GT=f(n2,PK)。\n高压燃油系统包括下列附件：\n●油泵调节器НР-30КП;\n●执行机构ИМТ-3;\n●换算转速传感器ДПО-30КП;\n●离心调节器LIP-1-30K:\n●温度传感器ТД-30K;\n●导向器调节器PHA-30K;\n●导向器作动筒ЦНА-30К;\n●恒速传动调节器РППО-30КП;\n●由高压压气机V和VI级放气的放气活门(КПВ)作动筒；\n●由高压压气机VI级或XI级配气风门(ЭОВ)作动筒；\n●燃油滤；\n●空气滤；\n●燃油输油圈；\n●喷嘴ФР-40ДCM和导管(连接上述附件的导管)。\n    在向喷嘴第1油路供油的管路上，有两个接嘴，一个用来连接测压传感器ИДТ-100,\n测量第1油路的油压；第二个用来油封第1油路用。\n    在喷嘴第2油路的供油管路上，只有一个接嘴，用来油封喷嘴的第2油路。\n    工作原理是，燃油由油泵调节器НР-30КП出来，在高压下进入两个输油圈，即喷嘴的第1、2油路，由此经过24个输油管，进入12个喷嘴ФР-40ДCM,向燃烧室喷油。\n    在发动机起动时，高压燃油由油泵调节器经换算转速传感器和油滤，进入6个放\n气活门作动简，将放气活门打开。高压燃油也由油泵调节器经油滤，进入配气风门作动筒，将配气风门置于由高压压气机第XI级供气的位置，向发动机防冰系统和空气收集器(飞机防冰系统)供气。\n    为了消除放气活门作动筒回油时对燃油压力的影响，将放气活门作动筒的回油，经过附件PHA-30K和ДПО-30КП回油腔，引至增压油泵后的主油路上。'}
id: t8uoGEJM	Chunk: {'title': '燃油系统', 'text': '在高压压气机换算转速n2=8600r/min(79%)时，换算转速传感器工作，将放气活门作动筒的燃油，回到油泵调节器的进口，这时放气活门关闭。\n    为了保持回油压力的平衡，将温度传感器、导向器调节器、换算转速传感器、恒速传动调节器等附件的回油腔均由导管接于油泵调节器的进油管上，执行机构的回油腔\n则和油泵调节器的回油腔连通。\n    由附件PHA-30K和ЦНА-30К回油腔的回油，直接用导管接在增压油泵的后面。\n    带有指令油压的燃油，进入离心调节器的分油活门，当低压压气机的转速超过极限值时，分油活门回油，使供给燃烧室的燃油减少，保证低压压气机的转速，不能超过最大的极限值。另一路高压燃油由油泵调节器进入温度传感器，受温度传感器的作用，燃油压力和发动机进口空气温度成比例，然后引入换算转速传感器ДПО-30КП。\n    由换算转速传感器出来的燃油，带有恒定的压力和正比于换算转速的平方，进入进气导向器调节器。\n    在发动机停车时，输油圈的燃油，由位于油泵调节器内的回油活门，回油到前排油箱，排入前排油箱的燃油还有从油泵调节器、换算转速传感器，低压转速调节器各附件传动轴密封圈处排出的燃油。'}
id: 2R3bkDmZ	Chunk: {'title': '润滑与通风系统', 'text': '发动机各部位返回的滑油，是由回油泵抽出的。低压压气机滚子轴承内腔的滑油，由回油泵MHO-1抽取，经过两个进气导向叶片的内部油路，沿导管进入前传动机匣内腔。分隔机匣和前传动机匣的回油，由主油泵的回油级抽取，进入到空气分离器ЦВС-30。\n    后传动机匣的回油，轴罩壳的回油和低压涡轮后支点的回油，均由四级回油泵MHO-30K抽取，进入空气分离器ЦВС-30。滑油在空气分离器中和空气分离，沿外部导管，进入燃滑油散热器散热，冷却后的滑油回滑油箱。\n    油气混合物中的空气，由空气分离器分离出来以后，送入前传动机匣。为了保证发动机正常工作，在分隔机匣内腔、前传动机匣内腔、轴罩壳内腔、后传动机匣内腔、低压涡轮后支点内腔和滑油箱均通过油雾分离器和大气相通，经过外部导管，排入发动机喷口的外面。当发动机正常工作时，滑油在发动机的进油口，滑油压力(0.343～0.441)MPa,在慢车转速也不应小于0.245MPa。\n    滑油压力的测量在主油泵加压级和油滤之后由传感器ИДТ-8进行。当滑油压力下降至0.2156MPa±0.0441MPa时，最小滑油压力信号器MCTB-2.2送出低压信号。滑油进口处油温测量用П-63进行。油箱内滑油量的测量用杠杆浮子式滑油量传感器MЭC-2247ДT的ДTПP进行。\n\n\n\n    在发动机使用过程中，滑油消耗量不大于0.9kg/h,发动机滑油进口的油温应是：\n    最高允许温度                         80℃\n    最低允许温度                         -30℃\n    瞬时最高允许滑油温度(不超过10min)     90℃'}
id: c3oK3Mzt	Chunk: {'title': '润滑与通风系统', 'text': '润滑与通风系统，用来保证向发动机各磨擦表面不间断的供应滑油以减少摩擦力，同时将热量带走。通风系统还能使各发动机内腔滑油保持一定的剩余压力，以改善滑油\n泵的加压级和回油级的工作能力。\n    润滑与通风系统包含了下列主要附件：滑油箱、燃滑油散热器4845T、主\n滑油泵OMH-30、回油泵MHO-1、回油泵MHO-30K、带金属屑油滤—信号器的空气分离器ЦВС-30、油雾分离器ЦC-30K、滑油滤МФС-30和放油开关636700A。\n    润滑系统是一个封闭的系统，通过油箱自动的完成滑油的循环。在发动机工作时，滑油自油箱进入主滑油泵OMH-30的加压级，经单向活门，至油滤МФС-30。经过油滤后滑油分五路供油：\n    沿内部导管与处于进气导向器叶片内油路，滑油去润滑低压压气机转子的滚子轴承，并沿内部导管去润滑高低压涡轮轴的轴间轴承；\n    沿前传动机匣和分隔机匣的内部油路，滑油去润滑前传动机匣和中央传动机匣的\n齿轮与轴承，润滑低压压气机转子的球轴承，高压压气机转子的滚子轴承和锥齿轮的轴承；\n    沿内部导管滑油进入轴罩壳去润滑高压压气机转子的球轴承和高压涡轮转子的滚子轴承；\n    沿内部导管，滑油进入低压涡轮后支点，去润滑低压涡轮转子的滚子轴承；\n    沿内部导管，滑油去润滑后传动机匣的轴承与齿轮。'}
id: sd-yQ-Kl	Chunk: {'title': '起动系统', 'text': '自动起动系统，保证发动机的自动起动、冷运转和假起动。自动起动系统包含：\n    自动起动箱AПД-55;\n    空气起动机CTB-3T\n    空气起动机的液压开关，装在НР-30КП上；\n    空气起动机的离心开关；\n    点火附件CKHA-22-2A。\n    所有起动系统的附件，除自动起动箱AПД-55外，均装在发动机上，AПД-55装在飞机上。\n    起动系统各附件的运转均是远距离操纵的，所有起动系统的电门、转换开关、按钮、信号灯、信号指示器均装在飞行员座舱的操纵台上或显示器上。为了控制起动机前的压缩空气压力，使用了压力传感器。'}
id: QcIZrzz7	Chunk: {'title': '起动系统', 'text': ' 发动机在地面正常起动，首先要接通为起动系统附件供电的保险开关(AПД-55的电源开关、起动开关和点火开关)。将起动种类选择开关置于“起动位置”,假若空气起动机前的空气压力未超过0.5488MPa,按下地面“发动机起动”按钮，这时“起动箱已工作”信号灯亮，起动箱按给定的程序给出信号打开附加风门和空气起动机的风门。\n    空气起动机带动高压压气机和高压涡轮转子转动，经过29s以后，起动箱程序送出信号，关断点火电路，当高压压气机转子n2达到43+1-2%(4700+100 -200r/min)时，由起动箱程序或由油泵调节器液压开关给出信号，关断空气起动机，这时起动时间已达到56s±4s。假若起动箱的程序信号和油泵调节器液压开关信号尚不能切断空气起动机的工作，当高压压气机转速(n2)达到46+3%(5000+330r/min)时，由自身的离心开关，使空气起动机脱离工作。\n    起动过程的详细情况：当按下发动机的“地面起动”按钮，电流由自动保险开关“起动”,通过插座2Щ和6Щ的接线端进入起动箱。\n    2Щ1电流流向：→继电器P1的触点2—1,→程序机构凸轮“A”所控制的微动开关触点，→继电器P2的线圈，→起动箱的输出端3Щ2,→Г插座的16接线端，→闭合的油泵调节器液压开关触点，“T”插座3接线端到发动机壳体。继电器P2工作以后，自行接通下列电路：\n    2-3触点闭合联锁，接通电路；由机上电网“正极”, →经自动保险开关“起动”,→闭合的“停止起动”按钮，→起动箱接线柱8Щ1,→继电器P2的2—3触点，→程序机构“A”的触点，→继电器的P2的线圈。此时即使放开了“地面起动”按钮，继电器P2仍然接通；\n    5—6触点闭合，电网“正极”,进入继电器P4的线圈。电流的回路：→“起动”自动开关，→起动种类选择开关的“起动”位，→起动箱6Щ1接线柱，→微动开关“B”,→继电器P4→起动箱1Щ1接线柱至飞机地。继电器P4工作后，1—2触点接通，保证27V电压去点火系统，电流回路是：机上电网正极，→“点火”自动开关，→接线柱11Щ1,→继电器P4的接触点1—2,→起动箱接线柱4Щ2,→接线柱22ЩP“Г”,→点火器附件，→23ЩP“Г”,至飞机地。此时点火系统进入工作，向位于第二和第十\n一火焰筒的电嘴供给点火电压；\n    8—9触点闭合，使附加风门电磁铁接通，这时电流回路；由“AПД-55供电”自动开关，→起动箱接线柱4Щ1,→继电器P2的触点8—9,→起动箱接线柱1ЩI2,→“Г”的接线柱47ЩP,→附加风门电磁铁，→“Г”的接线柱46ЩP,→起动机危险转速联锁继电器1-2触点，→飞机地。当电磁铁通电时，它的衔铁推动顶杆，在起动机空气恒压风门开启时，限制附加风门衬筒的移动；\n    14—15触点闭合，接通空气起动机恒压风门电磁铁，这时电流回路是：由“AПД-55供电”自动开关，→自动起动箱接线柱4Щ1,→继电器P2的14-15触点，→起动箱接线柱2Щ2,→“Г”的接线柱25ЩP,→起动机风门电磁铁2—1接线柱，→“Г”接线柱46ЩP,→起动机危险起动转速联锁继电器1-2触点，至飞机地。在风门电磁铁工作后，打开起动机风门，压缩空气进入起动机涡轮，起动机转动，经过减速器，带动高压压气机和高压涡轮转子转动；\n    17—18触点闭合，电流回路是：由“AПД-55供电”自动开关，→起动箱接线柱4Щ1,→继电器P3的触点2—1,→继电器P2的触点17—18,→二极管刀1和刀2,→继电器P1的线圈，→到飞机地。继电器P1工作的同时，→接线柱10Щ1,接通“起动箱工作”绿色信号灯，继电器P1断开2—1触点，断开地面起动电路，这样就避免了在开车循环结束前重复的有信号供给。同时继电器P1用自身的触点5—6,接通恢复加速程序机构的电磁铁，而触点8—9则接通起动箱程序机构的电动机，程序机构开始工作，\n按照设计的起动程序自动的控制时间的循环。'}
id: G8Eml_6x	Chunk: {'title': '起动系统', 'text': '发动机正常起动过程分三个阶段；\n    第一阶段，空气起动机带动高压压气机与高压涡轮转子转动，到可以保证燃油在燃烧室稳定燃烧的转速。当高压压气机转速(n2)达到20.2%(2200r/min)时，火焰筒内喷油点火，涡轮开始工作。\n    第二阶段，空气起动机带动高压压气机和高压涡轮转子，n2转速达到43+1 -2%(4700+100-200r/min)时，在此转速由油泵调节器上的液压开关关断空气起动机。\n    第三阶段，压气机转子由涡轮带动，直到进入慢车转速，即n2转速达到58.5%~61.5%(6600+100-200r/min)。\n    发动机从起动到进入慢车转速，正常的时间是(35～80)s, 起动过程中，空气起动机的操纵，\n    点火系统的操纵，均由起动箱AПД-55中的时间程序装置保证。此外，空气起动机还可由油泵调节器上的液压开关，按照规定的转速范围和自身的离心开关两者传出的信号而关断。'}
id: fsR5sHNS	Chunk: {'title': '起动系统', 'text': '程序机构的工作情况示于图\n\n    自工作开始，2s以后，程序机构的凸轮开关“O”闭合了通常断开的触点，保证了向继电器P1线圈供电和向程序机构的电机供电，程序机构开始工作29s以后，微动开关“Б”断开，同时使继电器P4断电，结果点火附件断电。\n    注：程序机构中的转换开关“B”和“Г”,在地面起动时，对起动循环无影响。程序机构工作55s以后，凸轮开关“A”断开，继电器P2断电，继电器P2触点8-9和14—15断开后，恢复到以前的断开位置。\n    电磁铁的电路和空气起动机恒压风门的电路，起动机的风门关闭。供给起动机涡轮的空气停止供气，转子转速下降，起动机连接器的棘轮和卡爪脱开，起动机已不再带动压气机转子。至此，起动的自动过程停止。\n    在继电器P2断电之后，程序机构电动机继续工作，电流的回路是：机上电网“AПД-55供电”自动开关，起动箱4Щ1接线柱，→继电器P1的触点9—8,(此触点接通，电流由机上电网经程序机构“O”凸轮开关来),在继电器P2断电时，却闭合了触点17—16,这就保证了电流由起动箱接线柱4Щ1,→经继电器P3的触点2—1,继电器P2的触点17—16,→继电器P1的触点6—5,→进到程序机构的加速恢复循环电磁铁3M的线圈。程序机构的减速器被转换到加速循环状态，大约经1s,使起动系统恢复到原始状态。继电器P1断电，断开9—8触点，同时为程序机构的电动机断电，触点8—7使电动机电刷短接，形成了对电动机的电动力刹车，信号灯“起动箱工作”熄灭。程序机构的工作至此，完全停止。\n    上面所述是电气自动系统在56s±4s时自动关断空气起动机的工作情况，假若高压压气机转子在起动箱程序机构凸轮开关“A”接通以前就达到了43+1 -2%(4700+100-200r/min),那么起动系统就依靠油泵调节器的液压开关传出的信号而关断。在此情况下，通常是闭合的起动机断开终点开关并切断了继电器P2的供电(断开负极搭铁),继电器P2断开触点5—6,和继电器P4的供电。由P4断开点火附件的供电，同时继电器P2断开自身的触点8—9和14—15,断开附加风门电磁铁与起动机风门电磁铁的供电，起动机停止工作，此外P2触点17—16接通加速循环机构的电磁铁3M,电流回路：“AПД-55供电”自动开关，接线柱4Щ1,触点2—1(继电器P3的),继电器P2的触点17—16,和继电器P1的触点6—5,程序机构经(2～3)s,使各凸轮加速恢复到原始状态。\n    若出现故障，起动系统在高压压气机转速达到43+1 -2%(4700+100-200r/min)和时间达到(56±4)s时，仍未断开。那么空气起动机转子转速达到5600+260r/min,对应于n2=5000+330r/min或46+3%),这时空气起动机离心开关断开通常闭合的触点和接通通常断开的触点，使机上电网的“负极”,接通起动危险转速联锁继电器P,通常由“起动”自动开关引入“正极”电压而使继电器工作，使其1—2触点断开，使负极电路断开，并断开附加风门电磁铁和起动机风门的供电，起动机风门关闭，起动机和发动机脱开，这时联锁继电器P的5—6触点闭合，座舱里“起动机危险转速”的红色信号灯亮，红灯的熄灭要等到起动机的转速下降到5250+350r/min以下，离心开关的触点断开，因为联锁继电器P的接线回路要经过继电器触点2—3,灯的熄灭要在座舱内断开“起动”自动开关，才能实现。   \n    起动机危险转速信号灯亮，说明了油泵调节器的液压开关未起作用和起动机与发动机未按规定的转速脱开。'}
id: zyeUynE4	Chunk: {'title': '起动系统', 'text': '发动机假起动\n    假起动的目的是为燃油系统充满燃油和检查燃油系统的密封，在假起动时，起动种类选择开关应放在中间“假起动”位置，当按下“地面起动”按钮后，起动系统各执行机构的工作情况与发动机地面起动一样，但不点火(即接线柱6Щ1“正极”不供电),电气自动系统的关闭与空气起动机的关断并停止假起动的工作是在起动开始后56s±4s。\n发动机冷运转\n    冷运转时，将起动种类选择开关置于“冷运转”位置。\n    按下“地面起动”按钮以后，起动系统的工作情况和发动机地面开车一样，但也有不同之处，在冷运转时不接通点火系统，由于起动种类选择开关不向继电器P4.供电，机上电网27V电压(经“起动”自动开关，起动种类选择开关，起动箱触点5Щ1,继电器P2触点(11—12)供给程序机构凸轮开关“Г”),此凸轮开关是在起动循环工作后的27s,使触点闭合，并经过继电器P1的触点(6—5)接通程序机构的加速恢复装置的电磁铁3M,程序机构的减速器被转换成加速循环，经过3s系统恢复到原始状态。冷运转总的循环工作时间30s±3s,在此时间内断开空气起动机。\n    注：发动机冷运转，不向燃烧室喷油点火。'}
id: w-xH7q3S	Chunk: {'title': '起动系统', 'text': '发动机空中起动\n    在空中起动不用空气起动机，利用发动机转子的自转，起动电气自动系统，由位于飞行员舱中央操纵台上的“空中起动”按钮接通。\n    在按下“空中起动”按钮以后，机上27V电源，经“起动”自动开关与起动箱接线柱7Щ1通向继电器P3线圈，P3接通了自身的触点5—6,使由起动箱接线柱9Щ1来的电，经闭合的凸轮开关“B”的触点，保证自锁，继电器P3的触点2—3接通继电器P1,经过P1的触点9—8,将电流由起动箱的4Щ1供给程序机构的电动机，程序机构开始起动循环。\n    同时P3用触点8—9,将电流由起动箱的接线柱9Щ1供给继电器P4线圈，使点火系统接通。\n    经过2s,程序机构的工作，凸轮开关“O”接通，保证程序机构电动机至起动循环终了，都有电供给。\n    起动开始后29s,“B”凸轮开关触点断开，继电器P3断开，P3用自身触点8—9断开继电器P4,同时关断点火系统，程序机构电动机的供电，由凸轮开关“O”执行，即电流由“AПД-55供电”自动开关，→起动箱接线柱4Щ1,→凸轮开关“O”的触点，\n在断开继电器P3时，它的触点2—1接通，则电流(经过“AПД-55供电”自动开关，→起动箱接线柱4Щ1,→P3的触点2—1,→P2的触点17—16,→P1的触点6—5)进入加速恢复循环的电磁铁ЭM,程序机构开始加速恢复，经3s,程序机构处于原始位置。'}
id: 82jQuLS9	Chunk: {'title': '发动机点火系统', 'text': ' 点火系统的作用是点燃油气混合气。\n    此系统由电容式点火附件CKHA-22-2A、半导体电嘴CП-06BП-3和高压引出线组成，高压引出线具有铜线芯和屏蔽层，并有接触装置，高压引出线连接点火附件和电嘴。\n    点火系统将直流低压电源，转换成高压电容放电，点燃混合气。'}
id: -B_3gz8N	Chunk: {'title': '起动系统', 'text': '停止起动\n    停止起动发动机，需按下位于飞行员座舱起动配电板上的“停止起动”按钮，按下“停止起动”按钮后，继电器P2线圈供电被关断，继电器P2断开则断开了参加起动的各附件的电源。经P2的触点16—17,带27V电压的电流进入电机3M电磁铁线圈，其回路是：由“AПД-55供电”自动开关，经起动箱接线柱4Щ1,继电器P3的触点2—1,P2的触点16—17,P1的触点6—5,和电机3M的电磁铁线圈，程序机构被接通在加速恢复循环状态，经(3～4)s恢复到原始状态。最后凸轮开关“O”被恢复到原始状态，由它断开继电器P1的。\n    在继电器P1断开时，也切断了向加速恢复装置电机3M线圈的供电，已断开的继电器P1,用触点7—8使电动机电枢电路短接，这样使电机产生了刹车力矩，电机刹车，同时停止了除“空中起动”以外的所有自动工作循环。\n系统工作的检查：\n    为了检查起动系统是否正常，在起动箱上设置了五个插销的插座“Щ3”,在插座的接线上，连有检查电路的导线，检查电路能够检查。\n●油泵调节器液压开关的“负极”线是否完好(线柱1);\n●起动箱AПД-55工作全循环(线柱2);\n●向附加风门电磁铁的供电(线柱3):\n●向点火系统的供电(线柱4);\n●向空气恒压风门(起动机的)电磁铁的供电(线柱5)。\n    检查时，连接直流电压表或继电器PПC18/7连接灯泡，进行检查工作。\n技术参数如下：\n直流供电电压                                   27V\n在起动过程短时电压降至                         16V以上\n起动循环时间  \n地面起动循环时间                               56s±4s\n冷运转                                         30s±3s\n假开车                                         56s±4s\n空中起动                                       32s±3s\n工作状态，允许的重复工作时间、次数 五次接通，每次工作时间不超过60s,两次工   作之间停止工作3min,五次工作之后停止工作30min,这样循环工作两次之后冷却时间不少于1小时。'}
id: WX8I-yZ1	Chunk: {'title': '防喘调节系统', 'text': '发动机防喘调节系统包括高压压气机进气导向叶片调节系统和放气活门操纵系统两大部分。发动机防喘调节系统的作用是感受高压转子换算转速，根据换算转速的变化，自动控制高压压气机的放气活门开与关和进气导向器叶片角度的改变，以防止压气机产生喘振。\n    本节的内容在燃油系统中已作了详细的介绍，在此就不重复叙述，只作简要介绍。\n    防喘调节系统由压气机进口温度传感器ТД-30К、换算转速传感器ДПО-30КП、放气活门、导向器调节器PHA-30K、导向器作动筒ЦНА-30К和导向器叶片传动部分组成。\n    发动机工作时，进口温度传感器ТД-30К感受进气温度，发出与进气温度成线性关系的液压压力信号给换算转速传感器。换算转速传感器在后附件传动机构带动下工作，感受发动机高压转子的物理转速，同时在温度传感器ТД-30К的压力信号作用下，发出与换算转速平方成线性关系的压力信号PПO。\n\n    当PПO值很小时，换算转速传感器上的控制放气活门开关的两个活门均处于左极限位置。当n2达到14%(1500r/min)时，放气活门在燃油泵调节器油泵出口高压燃油作用下，打开放气；导向器调节器的分油活门在弹簧力作用下，处于右极限位置，这时导向器作动简活塞在定压燃油油压作用下，处于左极限位置(实物上活塞杆处于外伸位置),导向器叶片处于最小安装角-33°位置。\n    随着发动机高压转子转速的均匀增大(在标准大气条件下), PПO值跟着增大。当换算转速值增加到某一值时，即n2换算=75.5%±1.5%(8230r/min±150r/min)时，Pno值已增大到使导向器调节器分油活门处于偏离中立位置左边。则作动筒活塞在定压燃油油压作用下，开始右移(实物上活塞杆往回缩),使导向器叶片安装角由最小-33°向增大方向转动。从n2换算=75.5%±1.5%,一直到n2换算=91.5%±1.5%(10000r/min±150r/min),导向器叶片的安装角与n2换算成——对应的关系。当n2换算=91.5%±1.5%\t(10000r/min±150r/min)时，导向器叶片安装角变大到0°。当n2换算再增大时，导向器叶片安装角保持为0°不变。当n2换算增大到等于79%±1.5%(8600r/min±150r/min)时，换算转速传感器控制放气活门开关的两个活门，在PПO油压力作用下，处于右极限位置，断开去放气活门的高压燃油路，并使通放气活门的油路与回油路相通，放气活门在弹簧力作用下关闭，停止放气。\n    当发动机高压转子转速由大转速均匀减小时，当n2换算=91.5+1.5 -3.5%\t(10000+150 -400r/min),导向器叶片开始由最大安装角0°向减小方向转动。当n2换算=75.5+1.5 -3.5%(8230+150 -400r/min)时，导向器叶片已转到-33°位置。随后n2换算值再下降，分油活门偏在中立位置右面，保持活塞处于-33°位置不动。当n2换算=79-1.5 -2.5%(8600-150 -250r/min)时，放气活门打开。'}
id: rEM_snOP	Chunk: {'title': '引气系统和发动机防冰系统', 'text': '发动机在空气燃气主流道之外，还具有一系列辅助的空气管路，依靠这些管路，将空气由内、外函道输送给飞机和发动机的各用气部位(图6),具体如下：\n●密封滑油的空气挡油装置：\n●冷却涡轮部件；\n●空气涡轮ППО:\n●自动起动、加速性自动调节、油泵调节器的最大压力限制器；\n●排油系统：\n●发动机防冰系统：\n●飞机上各用气部位。\n为密封滑油的空气挡油装置供气\n    低压压气机滚子轴承滑油腔的空气挡油装置与球轴承的空气挡油装置，其挡油的压缩空气，由低压压气机Ⅲ级工作轮与整流器之间的轴向间隙供给。\n    高压压气机转子滚子轴承滑油腔的空气挡油装置，其挡油的压缩空气，主要由高压压气机进气处供气，辅助的由外函道经4个特设的套简供气。\n    高压压气机转子球轴承滑油腔的空气挡油装置，其挡油的压缩空气由外函道经轴罩壳前腔内的导管供气，空气经轴罩壳前腔，沿着孔流向空气挡油装置的绝热腔中挡油。\n    高压涡轮滚子轴承空气挡油装置，压缩空气来自外函道，经过轴罩壳后腔内的导管并沿着孔，流向空气挡油装置。\n    低压涡轮后滚子轴承的空气挡油装置，其挡油压缩空气来自于外函道，经涡轮后\n支点的空心支柱供气。\n\n    为了向发电机、空气涡轮ППО、ППО的备用传动装置、高压压气机转速传感器等的空气挡油装置或用气部位供气,压缩空气由高压压气机第VI级和由发动机外函道辅助\n\n\n供气，前者经导管和后传动机匣上的孔，后者经分隔机匣上的空气收集器，引向各用气部位。\n    向低压压气机转速传感器的传动座空气挡油装置供气(该传动座位于前传动机匣上)的空气来自于外函道。'}
id: lrEHEcxE	Chunk: {'title': '防喘调节系统', 'text': '高压压气机进气导向器调节系统\n    进气导向器调节系统由可调叶片、导向器调节器PHA-30K、导向器作动筒ЦНА-30К和导向器叶片传动部分等组成。\n放气活门操纵系统\n    发动机高压压气机中间级放气，是采用六个放气活门放气，分别安装在第V、第VI级上，每级上有三个放气活门，在V级和VI级的外环上有一圈放气孔，放气活门开关\n由自动调节器即换算转速传感器ДПО-30КП,进行自动调节。\n    发动机的放气活门关闭时，所对应的高压转子转速，在标准大气条件下，飞行速度为零和均匀推“油门操纵”手柄时为79%±1.5%(8600r/min±150r/min);在同样条件下，均匀收“油门操纵”手柄，放气活门打开的转速为79-1.5 -2.5%(8600-150 -250r/min)。在同样条件下，快推或快收“油门操纵”手柄时，放气活门关闭和打开转速，分别为≮83%(9050r/min)与≯73%(8000r/min)。'}
id: P7pZD9RK	Chunk: {'title': '引气系统和发动机防冰系统', 'text': '涡轮部件冷却空气的输送\n    为了冷却涡轮部件，冷却空气取自于发动机内函道(高压)和外函道(低压)。\n    高压空气用来冷却I、Ⅱ级涡轮的导向叶片、工作叶片与涡轮盘。\n    低压空气用来冷却Ⅲ、IV、V、VI级涡轮盘，所有导向器外环和高低压涡轮的滚子轴承支点部件。\n向空气涡轮ППО输气\n    来自高压压气机第XI级的压缩空气，沿着导管经调节风门和应急关闭ППО风门，进入空气涡轮ППО。\n向油泵调节器的最大压力限制器、起动与加速性自动装置供气\n    来自高压压气机第XI级的压缩空气，经过空气滤，沿两条导管输向起动自动装置、加速性自动装置与最大压力限制器。\n向排油系统供气\n    向前、后排油箱供给的空气均来自发动机的外函道。\n    排油箱中的燃油，被带压力的空气挤出，经导管流入通风管，导入收口中排出。\n向发动机防冰系统供气\n    在发动机低压压气机进气叶片(26片)、整流罩和温度传感器ТД-30К结冰的情况下，分别由高压压气机第VI级或第XI级向该处供给加温的空气，加温压缩空气的供给，根据发动机的工作状态是自动转换的。\n    发动机防冰系统包括：自第X级的输气管、自第VI级的输气管、配气风门、电动风门、导管和结冰信号器ДО-206 (2批)。\n    配气风门可以自动地将由高压压气机XI级的输气管供气转为由VI级的输气管供气，在高压压气机的转速超过8700r/min±150r/min,由高压压气机VI级供气，低于此转速由第XI级供气。\n    打开电动风门与热空气输向绝热的集气室，是由风门的电动机构ЭПВ-150MT进行的，当出现“结冰”信号时，手动接通电动风门，结冰信号由信号器ДО-206 (2批)发出，经自动装置БA-137(3批)传送。\n    热空气被送入集气室之后，由集气室经进气导向叶片内腔，将叶片加热，然后进入整流罩，加热整流罩外壳后，排入到发动机进气气流中。\n向飞机各用气部位供气\n    飞机机舱的空气调节和飞机机翼防冰系统所需的空气，由发动机高压压气机第XI级，经过设在发动机上部的套筒供给。\n    冷却系统所需的空气，由发动机外函道，经过设在发动机上部的短管供给。\n    向进气道防冰系统供气的空气来自高压压气机的VI和XI级，同时也向发动机防冰系统供气。'}
